TEAM,MATCH UP,GAME DATE,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-,COURT
ORL,ORL vs. LAC,2024-03-29,L,36,77,29,63,0.4603174603174603,9,22,0.4090909090909091,10,11,0.9090909090909091,7,17,24,16,13,8,6,9,-8,1
OKC,OKC vs. PHX,2024-03-29,W,36,101,39,65,0.6,11,19,0.5789473684210527,12,12,1.0,4,21,25,25,7,5,6,9,21,1
NYK,NYK @ SAS,2024-03-29,L,36,91,39,76,0.5131578947368421,10,25,0.4,3,3,1.0,10,24,34,20,7,5,1,11,-3,0
MIN,MIN @ DEN,2024-03-29,W,36,87,34,65,0.5230769230769231,8,25,0.32,11,15,0.7333333333333333,6,25,31,24,2,4,3,14,23,0
MIA,MIA vs. POR,2024-03-29,W,36,107,41,67,0.6119402985074627,17,32,0.53125,8,11,0.7272727272727273,1,29,30,36,7,12,3,9,44,1
LAL,LAL @ IND,2024-03-29,L,36,72,29,69,0.42028985507246375,3,22,0.13636363636363635,11,13,0.8461538461538461,10,31,41,20,12,3,3,12,-14,0
LAC,LAC @ ORL,2024-03-29,W,36,85,34,66,0.5151515151515151,7,16,0.4375,10,12,0.8333333333333334,10,23,33,17,12,8,3,13,8,0
IND,IND vs. LAL,2024-03-29,W,36,86,33,69,0.4782608695652174,9,24,0.375,11,12,0.9166666666666666,4,28,32,19,7,5,3,11,14,1
HOU,HOU @ UTA,2024-03-29,W,36,69,24,68,0.35294117647058826,9,32,0.28125,12,18,0.6666666666666666,11,27,38,15,9,8,6,16,-3,0
GSW,GSW @ CHA,2024-03-29,W,36,89,36,66,0.5454545454545454,9,25,0.36,8,9,0.8888888888888888,9,30,39,28,11,6,5,13,18,0
DET,DET @ WAS,2024-03-29,W,36,80,30,65,0.46153846153846156,5,19,0.2631578947368421,15,19,0.7894736842105263,4,27,31,15,10,6,4,12,5,0
DEN,DEN vs. MIN,2024-03-29,L,36,64,22,59,0.3728813559322034,7,22,0.3181818181818182,13,19,0.6842105263157895,7,26,33,19,9,2,0,11,-23,1
DAL,DAL @ SAC,2024-03-29,W,36,73,24,56,0.42857142857142855,8,24,0.3333333333333333,17,26,0.6538461538461539,5,26,31,16,10,3,5,9,-9,0
CLE,CLE vs. PHI,2024-03-29,W,36,85,33,59,0.559322033898305,12,28,0.42857142857142855,7,8,0.875,2,24,26,25,13,4,3,16,-2,1
CHI,CHI @ BKN,2024-03-29,L,36,85,29,57,0.5087719298245614,8,24,0.3333333333333333,19,25,0.76,5,33,38,18,13,3,5,13,-1,0
CHA,CHA vs. GSW,2024-03-29,L,36,71,25,64,0.390625,10,36,0.2777777777777778,11,18,0.6111111111111112,10,21,31,16,9,4,2,7,-18,1
BKN,BKN vs. CHI,2024-03-29,W,36,86,30,71,0.4225352112676056,16,33,0.48484848484848486,10,17,0.5882352941176471,10,22,32,18,6,9,1,17,1,1
NOP,NOP vs. MIL,2024-03-28,W,36,85,31,75,0.41333333333333333,7,27,0.25925925925925924,16,21,0.7619047619047619,10,29,39,19,5,10,5,14,12,1
MIL,MIL @ NOP,2024-03-28,L,36,73,29,65,0.4461538461538462,10,28,0.35714285714285715,5,12,0.4166666666666667,5,31,36,17,12,1,3,15,-12,0
BOS,BOS @ ATL,2024-03-28,L,36,90,34,68,0.5,10,26,0.38461538461538464,12,14,0.8571428571428571,6,24,30,21,11,7,6,10,1,0
ATL,ATL vs. BOS,2024-03-28,W,36,89,37,76,0.4868421052631579,11,32,0.34375,4,6,0.6666666666666666,12,25,37,19,11,5,4,11,-1,1
WAS,WAS vs. BKN,2024-03-27,L,36,91,35,65,0.5384615384615384,10,23,0.43478260869565216,11,13,0.8461538461538461,2,27,29,23,9,4,3,13,-1,1
UTA,UTA vs. SAS,2024-03-27,L,36,79,28,60,0.4666666666666667,9,23,0.391304347826087,14,16,0.875,3,21,24,17,18,7,2,9,-9,1
TOR,TOR vs. NYK,2024-03-27,L,36,80,33,67,0.4925373134328358,9,21,0.42857142857142855,5,6,0.8333333333333334,10,10,20,26,12,5,2,15,-31,1
SAS,SAS @ UTA,2024-03-27,W,36,88,35,66,0.5303030303030303,13,24,0.5416666666666666,5,8,0.625,7,25,32,31,19,7,4,16,9,0
POR,POR @ ATL,2024-03-27,L,36,86,34,64,0.53125,12,24,0.5,6,10,0.6,3,18,21,30,15,8,1,14,-14,0
PHX,PHX @ DEN,2024-03-27,W,36,83,31,62,0.5,13,27,0.48148148148148145,8,9,0.8888888888888888,9,32,41,24,14,2,5,9,10,0
PHI,PHI vs. LAC,2024-03-27,L,36,79,29,63,0.4603174603174603,8,23,0.34782608695652173,13,15,0.8666666666666667,9,32,41,11,9,3,9,11,4,1
ORL,ORL vs. GSW,2024-03-27,L,36,66,26,68,0.38235294117647056,6,24,0.25,8,17,0.47058823529411764,10,23,33,18,8,9,4,10,-6,1
OKC,OKC vs. HOU,2024-03-27,L,36,85,31,65,0.47692307692307695,9,27,0.3333333333333333,14,18,0.7777777777777778,8,26,34,18,14,7,4,14,5,1
NYK,NYK @ TOR,2024-03-27,W,36,111,41,68,0.6029411764705882,17,35,0.4857142857142857,12,15,0.8,11,17,28,23,9,5,7,11,31,0
MIN,MIN vs. DET,2024-03-27,W,36,78,32,63,0.5079365079365079,7,27,0.25925925925925924,7,12,0.5833333333333334,6,27,33,22,10,6,2,11,12,1
MEM,MEM vs. LAL,2024-03-27,L,36,92,35,72,0.4861111111111111,12,31,0.3870967741935484,10,13,0.7692307692307693,6,20,26,22,11,10,3,17,-10,1
LAL,LAL @ MEM,2024-03-27,W,36,102,35,64,0.546875,14,25,0.56,18,23,0.782608695652174,2,32,34,24,14,3,2,13,10,0
LAC,LAC @ PHI,2024-03-27,W,36,75,28,70,0.4,11,30,0.36666666666666664,8,11,0.7272727272727273,10,25,35,20,8,6,3,12,-4,0
IND,IND @ CHI,2024-03-27,L,36,74,24,61,0.39344262295081966,9,27,0.3333333333333333,17,20,0.85,7,25,32,18,9,2,2,18,-13,0
HOU,HOU @ OKC,2024-03-27,W,36,80,32,70,0.45714285714285713,9,29,0.3103448275862069,7,9,0.7777777777777778,9,26,35,15,16,7,1,18,-5,0
GSW,GSW @ ORL,2024-03-27,W,36,72,28,70,0.4,6,27,0.2222222222222222,10,12,0.8333333333333334,10,35,45,21,10,5,4,13,6,0
DET,DET @ MIN,2024-03-27,L,36,66,23,60,0.38333333333333336,6,23,0.2608695652173913,14,19,0.7368421052631579,4,26,30,13,8,7,1,10,-12,0
