TEAM,MATCH UP,GAME DATE,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-,COURT
WAS,WAS vs. HOU,2024-03-19,L,12,32,12,24,50.0,3,10,30.0,5,5,100.0,3,11,14,6,3,0,1,9,-4,1
SAS,SAS vs. DAL,2024-03-19,L,12,23,9,19,47.4,2,8,25.0,3,6,50.0,2,10,12,7,4,0,3,5,1,1
ORL,ORL vs. CHA,2024-03-19,W,12,21,9,23,39.1,3,11,27.3,0,0,0.0,6,8,14,5,5,2,3,3,-6,1
NOP,NOP @ BKN,2024-03-19,W,12,19,7,16,43.8,1,6,16.7,4,4,100.0,1,9,10,5,5,1,2,4,-3,0
MIN,MIN vs. DEN,2024-03-19,L,12,28,8,20,40.0,4,12,33.3,8,11,72.7,3,9,12,5,1,1,2,6,0,1
HOU,HOU @ WAS,2024-03-19,W,12,36,11,24,45.8,3,14,21.4,11,11,100.0,2,9,11,9,0,1,1,4,4,0
DEN,DEN @ MIN,2024-03-19,W,12,28,9,17,52.9,4,7,57.1,6,9,66.7,1,9,10,6,3,1,0,6,0,0
DAL,DAL @ SAS,2024-03-19,W,12,22,8,22,36.4,2,10,20.0,4,4,100.0,1,8,9,5,1,2,0,6,-1,0
CHA,CHA @ ORL,2024-03-19,L,12,27,11,23,47.8,3,8,37.5,2,3,66.7,2,8,10,4,2,3,0,0,6,0
BKN,BKN vs. NOP,2024-03-19,L,12,22,8,23,34.8,1,7,14.3,5,6,83.3,6,8,14,5,3,2,1,3,3,1
UTA,UTA vs. MIN,2024-03-18,L,12,21,6,17,35.3,2,8,25.0,7,8,87.5,4,8,12,3,6,0,0,5,-10,1
SAC,SAC vs. MEM,2024-03-18,W,12,21,8,24,33.3,1,6,16.7,4,7,57.1,8,11,19,6,6,2,5,8,-8,1
POR,POR @ CHI,2024-03-18,L,12,32,10,22,45.5,5,11,45.5,7,8,87.5,3,10,13,6,3,3,0,8,11,0
PHI,PHI vs. MIA,2024-03-18,W,12,19,7,20,35.0,2,9,22.2,3,3,100.0,4,9,13,5,6,2,3,4,-7,1
NYK,NYK @ GSW,2024-03-18,W,12,20,7,19,36.8,1,8,12.5,5,8,62.5,3,10,13,5,7,2,1,5,-4,0
MIN,MIN @ UTA,2024-03-18,W,12,31,10,22,45.5,4,10,40.0,7,8,87.5,3,6,9,6,0,3,3,5,10,0
MIA,MIA @ PHI,2024-03-18,L,12,26,10,23,43.5,4,10,40.0,2,3,66.7,2,7,9,5,3,5,1,2,7,0
MEM,MEM @ SAC,2024-03-18,L,12,29,10,26,38.5,1,3,33.3,8,11,72.7,5,10,15,3,3,4,2,6,8,0
LAL,LAL vs. ATL,2024-03-18,W,12,25,11,23,47.8,3,9,33.3,0,0,0.0,2,10,12,8,2,2,1,4,6,1
IND,IND vs. CLE,2024-03-18,L,12,20,8,21,38.1,2,13,15.4,2,2,100.0,3,8,11,5,2,1,1,5,2,1
GSW,GSW vs. NYK,2024-03-18,L,12,24,9,24,37.5,4,13,30.8,2,4,50.0,3,10,13,6,4,4,1,6,4,1
DET,DET @ BOS,2024-03-18,L,12,28,10,20,50.0,3,5,60.0,5,6,83.3,4,7,11,5,3,3,1,2,1,0
CLE,CLE @ IND,2024-03-18,W,12,18,7,19,36.8,1,8,12.5,3,4,75.0,2,7,9,6,4,1,2,4,-2,0
CHI,CHI vs. POR,2024-03-18,W,12,21,7,22,31.8,1,8,12.5,6,7,85.7,2,6,8,2,3,2,2,6,-11,1
BOS,BOS vs. DET,2024-03-18,W,12,27,9,21,42.9,7,12,58.3,2,2,100.0,4,6,10,9,5,3,2,5,-1,1
ATL,ATL @ LAL,2024-03-18,L,12,19,8,22,36.4,0,6,0.0,3,4,75.0,4,8,12,5,2,1,1,0,-6,0
WAS,WAS vs. BOS,2024-03-17,L,12,26,10,21,47.6,4,8,50.0,2,2,100.0,2,8,10,7,4,1,1,4,4,1
TOR,TOR @ ORL,2024-03-17,L,12,23,8,22,36.4,3,11,27.3,4,4,100.0,4,5,9,6,2,2,1,5,-1,0
SAS,SAS vs. BKN,2024-03-17,W,12,30,11,20,55.0,4,9,44.4,4,4,100.0,2,9,11,7,3,0,1,4,3,1
PHX,PHX @ MIL,2024-03-17,L,12,35,15,22,68.2,5,10,50.0,0,0,0.0,0,8,8,6,2,1,2,5,4,0
ORL,ORL vs. TOR,2024-03-17,W,12,24,10,21,47.6,2,10,20.0,2,4,50.0,5,9,14,4,5,2,1,4,1,1
MIL,MIL vs. PHX,2024-03-17,W,12,31,11,19,57.9,4,6,66.7,5,5,100.0,0,6,6,7,3,2,0,2,-4,1
MIA,MIA @ DET,2024-03-17,W,12,25,9,24,37.5,4,10,40.0,3,4,75.0,4,8,12,7,2,1,0,3,0,0
LAC,LAC vs. ATL,2024-03-17,L,12,31,9,17,52.9,3,6,50.0,10,11,90.9,2,8,10,5,2,4,1,3,9,1
DET,DET vs. MIA,2024-03-17,L,12,25,8,16,50.0,4,9,44.4,5,6,83.3,0,10,10,4,2,1,2,5,0,1
DEN,DEN @ DAL,2024-03-17,L,12,26,9,17,52.9,4,7,57.1,4,4,100.0,1,5,6,5,3,1,2,6,3,0
DAL,DAL vs. DEN,2024-03-17,W,12,23,8,24,33.3,3,9,33.3,4,6,66.7,8,7,15,5,2,1,1,5,-3,1
BOS,BOS @ WAS,2024-03-17,W,12,22,9,19,47.4,2,8,25.0,2,4,50.0,3,8,11,5,6,1,1,3,-4,0
BKN,BKN @ SAS,2024-03-17,L,12,27,10,21,47.6,3,8,37.5,4,5,80.0,2,6,8,8,0,3,2,2,-3,0
ATL,ATL @ LAC,2024-03-17,W,12,22,7,17,41.2,3,7,42.9,5,5,100.0,2,6,8,5,4,0,1,7,-9,0
WAS,WAS @ CHI,2024-03-16,L,12,29,11,23,47.8,5,11,45.5,2,3,66.7,1,5,6,10,2,4,3,6,-3,0
UTA,UTA vs. MIN,2024-03-16,L,12,28,8,18,44.4,1,5,20.0,11,11,100.0,4,7,11,7,4,0,0,1,-9,1
SAC,SAC vs. NYK,2024-03-16,L,12,17,6,26,23.1,3,12,25.0,2,4,50.0,5,8,13,5,2,2,2,6,-6,1
POR,POR @ NOP,2024-03-16,L,12,15,5,16,31.3,1,6,16.7,4,4,100.0,0,7,7,2,7,2,2,0,-9,0
