index,TEAM,MATCH UP,GAME DATE,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-,COURT,Opponent,OppPTS,OppFGM,OppFGA,OppFG%,Opp3PM,Opp3PA,Opp3P%,OppFTM,OppFTA,OppFT%,OppOREB,OppDREB,OppREB,OppAST,OppTOV,OppSTL,OppBLK,OppPF,Pos,OppPos,Pace,OFFRTG,DEFRTG,Margin,formatted_date,week_of_season,PTS/Q
79,LAC,LAC vs. PHX,2024-04-10,L,36,93,37,69,0.5362318840579711,11,22,0.5,8,10,0.8,4,28,32,18,9,5,2,9,1,1,PHX,92,34,74,0.4594594594594595,15,42,0.3571428571428571,9,10,0.9,9,28,37,22,9,6,3,11,77.15459459459458,77.15459459459458,102.87279279279278,120.53721555879386,119.24111646676383,-16,2024-04-10,25,31.0
80,DEN,DEN vs. MIN,2024-04-10,W,36,83,34,66,0.5151515151515151,11,24,0.4583333333333333,4,8,0.5,8,23,31,22,11,6,5,14,3,1,MIN,80,31,59,0.5254237288135594,9,19,0.4736842105263157,9,15,0.6,5,22,27,17,8,7,5,12,69.35966666666667,69.35966666666667,92.47955555555555,119.6660883606707,115.34080805847779,9,2024-04-10,25,27.666666666666668
81,DAL,DAL @ MIA,2024-04-10,W,36,88,33,69,0.4782608695652174,15,39,0.3846153846153846,7,8,0.875,6,24,30,19,4,5,6,10,14,0,MIA,74,26,60,0.4333333333333333,9,22,0.4090909090909091,13,13,1.0,7,27,34,17,12,3,1,12,69.09076246334311,69.09076246334311,92.12101661779081,127.36869135970153,107.10549046156719,19,2024-04-10,25,29.333333333333332
82,CLE,CLE vs. MEM,2024-04-10,W,36,78,25,62,0.4032258064516129,11,31,0.3548387096774194,17,20,0.85,11,31,42,16,12,6,8,10,11,1,MEM,67,22,66,0.3333333333333333,11,25,0.44,12,13,0.9230769230769232,9,26,35,17,10,8,8,15,70.4185,70.4185,93.89133333333332,110.76634691167804,95.14545183439012,12,2024-04-10,25,26.0
83,CHA,CHA @ ATL,2024-04-10,W,36,77,27,60,0.45,11,29,0.3793103448275862,12,12,1.0,4,20,24,19,13,7,1,13,-15,0,ATL,92,35,63,0.5555555555555556,14,31,0.4516129032258064,8,11,0.7272727272727273,5,25,30,30,11,6,2,12,72.6688275862069,72.6688275862069,96.89177011494253,105.96015177024157,126.60173977743148,1,2024-04-10,25,25.666666666666668
84,BKN,BKN vs. TOR,2024-04-10,W,36,77,28,67,0.417910447761194,9,30,0.3,12,15,0.8,11,30,41,21,11,2,9,12,-3,1,TOR,80,28,72,0.3888888888888889,12,31,0.3870967741935484,12,13,0.9230769230769232,12,24,36,17,8,6,4,14,71.31671428571428,71.31671428571428,95.08895238095238,107.96907957862012,112.17566709467026,4,2024-04-10,25,25.666666666666668
85,ATL,ATL vs. CHA,2024-04-10,L,36,92,35,63,0.5555555555555556,14,31,0.4516129032258064,8,11,0.7272727272727273,5,25,30,30,11,6,2,12,15,1,CHA,77,27,60,0.45,11,29,0.3793103448275862,12,12,1.0,4,20,24,19,13,7,1,13,72.6688275862069,72.6688275862069,96.89177011494253,126.60173977743148,105.96015177024157,-1,2024-04-10,25,30.666666666666668
86,WAS,WAS @ MIN,2024-04-09,L,36,94,34,70,0.4857142857142857,17,36,0.4722222222222222,9,13,0.6923076923076923,6,25,31,19,10,4,4,20,-5,0,MIN,99,30,68,0.4411764705882353,14,31,0.4516129032258064,25,30,0.8333333333333334,9,28,37,23,7,8,7,10,77.31970588235293,77.31970588235293,103.09294117647057,121.57314739793144,128.03980417441716,-9,2024-04-09,25,31.333333333333332
87,UTA,UTA vs. DEN,2024-04-09,L,36,80,31,71,0.4366197183098591,9,23,0.391304347826087,9,9,1.0,10,23,33,17,12,3,2,4,-7,1,DEN,87,38,76,0.5,10,26,0.3846153846153846,1,3,0.3333333333333333,11,20,31,25,7,9,7,8,71.6893137254902,71.6893137254902,95.58575163398692,111.5926430908974,121.35699936135094,-16,2024-04-09,25,26.666666666666668
88,TOR,TOR vs. IND,2024-04-09,L,36,91,35,71,0.4929577464788732,4,15,0.2666666666666666,17,25,0.68,14,19,33,17,10,5,5,15,-15,1,IND,106,40,74,0.5405405405405406,14,37,0.3783783783783784,12,18,0.6666666666666666,10,22,32,23,10,6,6,17,77.33758620689656,77.33758620689656,103.11678160919541,117.66594286580552,137.06142795357565,-17,2024-04-09,25,30.333333333333332
